time,open,high,low,close
2022-03-18T14:30:00+01:00,44.56,46.27,43.24,44.75
2022-03-18T15:30:00+01:00,44.72,45.86,44.31,44.86
2022-03-18T16:30:00+01:00,44.65,45.36,43.69,44.06
2022-03-18T17:30:00+01:00,43.88,44.36,43.45,43.8
2022-03-18T18:30:00+01:00,43.84,44.51,43.62,44.08
2022-03-18T19:30:00+01:00,44.06,44.49,43.48,43.78
2022-03-18T20:30:00+01:00,43.85,43.99,42.01,42.12
2022-03-21T14:30:00+01:00,47.69,47.82,40.37,43.08
2022-03-21T15:30:00+01:00,42.95,42.95,40.07,40.84
2022-03-21T16:30:00+01:00,40.86,42.15,40.28,41.17
2022-03-21T17:30:00+01:00,41.18,45.53,41.18,44.64
2022-03-21T18:30:00+01:00,44.7,44.76,42.83,42.91
2022-03-21T19:30:00+01:00,42.85,44.5,41.81,42.81
2022-03-21T20:30:00+01:00,42.7,43.82,40.43,40.69
2022-03-22T14:30:00+01:00,40.51,42.06,38.46,41.87
2022-03-22T15:30:00+01:00,41.83,43.42,41.22,41.69
2022-03-22T16:30:00+01:00,41.72,43.58,41.72,43.44
2022-03-22T17:30:00+01:00,43.45,44.01,41.56,42.16
2022-03-22T18:30:00+01:00,42.19,42.19,40.61,41.49
2022-03-22T19:30:00+01:00,41.48,41.68,40.08,40.96
2022-03-22T20:30:00+01:00,40.95,41.18,39.32,40.18
2022-03-23T14:30:00+01:00,43.2,43.41,39.34,39.83
2022-03-23T15:30:00+01:00,39.64,41.01,38.83,38.99
2022-03-23T16:30:00+01:00,39.03,40.38,38.21,39.79
2022-03-23T17:30:00+01:00,39.77,42.26,39.4,42.01
2022-03-23T18:30:00+01:00,41.92,42.15,40.44,40.52
2022-03-23T19:30:00+01:00,40.54,41.25,39.59,39.75
2022-03-23T20:30:00+01:00,39.73,41.65,39.56,40.84
2022-03-24T14:30:00+01:00,39.0,40.42,38.01,39.35
2022-03-24T15:30:00+01:00,39.42,39.78,35.73,35.87
2022-03-24T16:30:00+01:00,35.93,37.76,35.53,37.64
2022-03-24T17:30:00+01:00,37.72,37.91,36.67,36.92
2022-03-24T18:30:00+01:00,36.85,37.4,35.76,37.05
2022-03-24T19:30:00+01:00,36.99,37.3,35.19,35.31
2022-03-24T20:30:00+01:00,35.07,35.4,34.56,35.25
2022-03-25T14:30:00+01:00,34.07,34.26,31.34,32.16
2022-03-25T15:30:00+01:00,32.14,36.02,31.46,34.79
2022-03-25T16:30:00+01:00,34.77,35.01,32.82,33.42
2022-03-25T17:30:00+01:00,33.43,34.61,32.95,34.42
2022-03-25T18:30:00+01:00,34.32,34.32,32.16,32.24
2022-03-25T19:30:00+01:00,32.26,32.79,31.25,32.32
2022-03-25T20:30:00+01:00,32.3,33.01,30.79,31.16
2022-03-28T15:30:00+02:00,30.65,30.69,28.76,30.03
2022-03-28T16:30:00+02:00,29.86,30.72,28.86,30.22
2022-03-28T17:30:00+02:00,30.27,32.21,30.03,31.44
2022-03-28T18:30:00+02:00,31.38,31.38,28.67,28.68
2022-03-28T19:30:00+02:00,28.7,28.76,27.03,27.07
2022-03-28T20:30:00+02:00,27.04,27.06,25.2,25.34
2022-03-28T21:30:00+02:00,25.31,25.64,24.02,24.37
2022-03-29T15:30:00+02:00,22.07,25.72,21.87,24.15
2022-03-29T16:30:00+02:00,24.08,24.91,23.43,23.58
2022-03-29T17:30:00+02:00,23.56,24.32,22.78,24.27
2022-03-29T18:30:00+02:00,24.22,25.12,23.95,24.76
2022-03-29T19:30:00+02:00,24.77,24.96,23.79,23.96
2022-03-29T20:30:00+02:00,24.21,24.39,23.57,23.99
2022-03-29T21:30:00+02:00,24.02,24.79,23.57,24.39
2022-03-30T15:30:00+02:00,24.31,25.58,23.6,24.69
2022-03-30T16:30:00+02:00,24.64,26.73,24.56,26.14
2022-03-30T17:30:00+02:00,26.09,26.47,25.4,25.96
2022-03-30T18:30:00+02:00,26.01,26.17,25.23,26.09
2022-03-30T19:30:00+02:00,26.06,26.24,25.15,26.08
2022-03-30T20:30:00+02:00,26.11,29.25,25.88,27.9
2022-03-30T21:30:00+02:00,27.83,27.98,25.46,25.54
2022-03-31T15:30:00+02:00,26.69,28.25,26.23,27.27
2022-03-31T16:30:00+02:00,27.48,27.48,25.41,26.25
2022-03-31T17:30:00+02:00,26.27,27.41,25.52,27.3
2022-03-31T18:30:00+02:00,27.31,27.98,26.51,27.07
2022-03-31T19:30:00+02:00,26.94,27.95,26.14,27.37
2022-03-31T20:30:00+02:00,27.4,28.97,26.53,28.67
2022-03-31T21:30:00+02:00,28.65,32.11,27.91,27.91
2022-04-01T15:30:00+02:00,25.43,26.98,24.61,26.84
2022-04-01T16:30:00+02:00,26.89,26.89,25.1,25.6
2022-04-01T17:30:00+02:00,25.64,27.05,25.44,26.1
2022-04-01T18:30:00+02:00,26.06,27.0,25.59,25.82
2022-04-01T19:30:00+02:00,25.78,25.91,23.95,23.95
2022-04-01T20:30:00+02:00,23.87,24.59,23.29,24.03
2022-04-01T21:30:00+02:00,24.0,24.96,22.56,23.33
2022-04-04T15:30:00+02:00,24.6,24.99,23.02,23.48
2022-04-04T16:30:00+02:00,23.43,24.12,22.91,23.12
2022-04-04T17:30:00+02:00,23.1,23.24,22.22,22.42
2022-04-04T18:30:00+02:00,22.41,23.07,22.29,22.44
2022-04-04T19:30:00+02:00,22.46,22.98,22.11,22.36
2022-04-04T20:30:00+02:00,22.37,22.49,21.89,22.06
2022-04-04T21:30:00+02:00,22.02,22.1,20.78,21.29
2022-04-05T15:30:00+02:00,23.39,24.98,21.84,24.53
2022-04-05T16:30:00+02:00,24.42,25.44,24.01,25.34
2022-04-05T17:30:00+02:00,25.29,26.96,25.02,26.95
2022-04-05T18:30:00+02:00,26.96,27.05,24.6,25.33
2022-04-05T19:30:00+02:00,25.3,26.7,25.2,26.39
2022-04-05T20:30:00+02:00,26.36,27.68,26.06,27.44
